GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Horario,2,75,2,10,0,17,2,10,0,6
labo2,aed,Recordatorio,6,88,7,7,1,16,7,6,0,6
labo2,aed,ArregloRedimensionableDeRecordatorios,0,123,0,8,0,27,0,12,0,8
labo2,aed,Agenda,0,89,0,6,0,20,0,8,0,5
labo2,aed,Fecha,2,168,2,14,0,27,2,14,0,8
