date/time: ,11/10/2023,11:14 a.m.
Run 1

time	(N)
0,000000	4,887393E+0
0,010000	4,982007E+0
0,020000	5,105004E+0
0,030000	5,215385E+0
0,040000	5,322614E+0
0,050000	5,423534E+0
0,060000	5,514994E+0
0,070000	5,587530E+0
0,080000	5,666375E+0
0,090000	5,723142E+0
0,100000	5,764141E+0
0,110000	5,842986E+0
0,120000	5,877677E+0
0,130000	5,934445E+0
0,140000	5,965983E+0
0,150000	5,981752E+0
0,160000	5,978598E+0
0,170000	5,969136E+0
0,180000	5,965983E+0
0,190000	5,921830E+0
0,200000	5,912369E+0
0,210000	5,893446E+0
0,220000	5,846139E+0
0,230000	5,795679E+0
0,240000	5,751526E+0
0,250000	5,669528E+0
0,260000	5,578069E+0
0,270000	5,496071E+0
0,280000	5,401458E+0
0,290000	5,309999E+0
0,300000	5,240616E+0
0,310000	5,139695E+0
0,320000	5,038774E+0
0,330000	4,928392E+0
0,340000	4,811703E+0
0,350000	4,698167E+0
0,360000	4,578324E+0
0,370000	4,461635E+0
0,380000	4,341791E+0
0,390000	4,244024E+0
0,400000	4,155719E+0
0,410000	4,039029E+0
0,420000	3,925494E+0
0,430000	3,830881E+0
0,440000	3,736268E+0
0,450000	3,635347E+0
0,460000	3,547041E+0
0,470000	3,480812E+0
0,480000	3,401968E+0
0,490000	3,332585E+0
0,500000	3,288432E+0
0,510000	3,231664E+0
0,520000	3,174897E+0
0,530000	3,159128E+0
0,540000	3,127590E+0
0,550000	3,111821E+0
0,560000	3,118129E+0
0,570000	3,130744E+0
0,580000	3,146513E+0
0,590000	3,168589E+0
0,600000	3,174897E+0
0,610000	3,209588E+0
0,620000	3,263202E+0
0,630000	3,310509E+0
0,640000	3,383045E+0
0,650000	3,446121E+0
0,660000	3,531272E+0
0,670000	3,622732E+0
0,680000	3,698422E+0
0,690000	3,774113E+0
0,700000	3,875033E+0
0,710000	3,982262E+0
0,720000	4,089490E+0
0,730000	4,203025E+0
0,740000	4,313407E+0
0,750000	4,430097E+0
0,760000	4,546786E+0
0,770000	4,663476E+0
0,780000	4,761243E+0
0,790000	4,865317E+0
0,800000	4,978853E+0
0,810000	5,086081E+0
0,820000	5,183848E+0
0,830000	5,291076E+0
0,840000	5,385689E+0
0,850000	5,489763E+0
0,860000	5,559146E+0
0,870000	5,628529E+0
0,880000	5,694758E+0
0,890000	5,754680E+0
0,900000	5,811448E+0
0,910000	5,855601E+0
0,920000	5,896600E+0
0,930000	5,940753E+0
0,940000	5,962829E+0
0,950000	5,969136E+0
0,960000	5,969136E+0
0,970000	5,947060E+0
0,980000	5,928137E+0
0,990000	5,902907E+0
1,000000	5,883985E+0
1,010000	5,839832E+0
1,020000	5,798833E+0
1,030000	5,738911E+0
1,040000	5,678990E+0
1,050000	5,606453E+0
1,060000	5,505532E+0
1,070000	5,417227E+0
1,080000	5,325767E+0
1,090000	5,253231E+0
1,100000	5,161771E+0
1,110000	5,064005E+0
1,120000	4,953623E+0
1,130000	4,843241E+0
1,140000	4,717090E+0
1,150000	4,606708E+0
1,160000	4,483711E+0
1,170000	4,376483E+0
1,180000	4,262947E+0
1,190000	4,158873E+0
1,200000	4,051644E+0
1,210000	3,957031E+0
1,220000	3,849803E+0
1,230000	3,739421E+0
1,240000	3,657423E+0
1,250000	3,565964E+0
1,260000	3,493427E+0
1,270000	3,405122E+0
1,280000	3,360969E+0
1,290000	3,313662E+0
1,300000	3,250587E+0
1,310000	3,206434E+0
1,320000	3,168589E+0
1,330000	3,155974E+0
1,340000	3,121282E+0
1,350000	3,118129E+0
1,360000	3,124436E+0
1,370000	3,146513E+0
1,380000	3,171743E+0
1,390000	3,196973E+0
1,400000	3,219049E+0
1,410000	3,260048E+0
1,420000	3,313662E+0
1,430000	3,367276E+0
1,440000	3,446121E+0
1,450000	3,528119E+0
1,460000	3,603809E+0
1,470000	3,682653E+0
1,480000	3,786728E+0
1,490000	3,871880E+0
1,500000	3,966493E+0
1,510000	4,083182E+0
1,520000	4,168334E+0
1,530000	4,307100E+0
1,540000	4,423789E+0
1,550000	4,531017E+0
1,560000	4,654014E+0
1,570000	4,751781E+0
1,580000	4,846394E+0
1,590000	4,959930E+0
1,600000	5,057697E+0
1,610000	5,161771E+0
1,620000	5,275307E+0
1,630000	5,369920E+0
1,640000	5,451918E+0
1,650000	5,549685E+0
1,660000	5,619068E+0
1,670000	5,672682E+0
1,680000	5,751526E+0
1,690000	5,789372E+0
1,700000	5,836678E+0
1,710000	5,874523E+0
1,720000	5,909215E+0
1,730000	5,937599E+0
1,740000	5,969136E+0
1,750000	5,956521E+0
1,760000	5,950214E+0
1,770000	5,931291E+0
1,780000	5,906061E+0
1,790000	5,871370E+0
1,800000	5,842986E+0
1,810000	5,805140E+0
1,820000	5,745219E+0
1,830000	5,678990E+0
1,840000	5,603299E+0
1,850000	5,514994E+0
