date/time: ,11/10/2023,11:06 a.m.
Run 1

time	(N)
0,000000	7,969542E-1
0,010000	7,906466E-1
0,020000	7,622627E-1
0,030000	7,244175E-1
0,040000	7,338788E-1
0,050000	7,685702E-1
0,060000	7,969542E-1
0,070000	8,505683E-1
0,080000	8,978748E-1
0,090000	9,956417E-1
0,100000	1,102870E+0
0,110000	1,225867E+0
0,120000	1,348864E+0
0,130000	1,475015E+0
0,140000	1,623242E+0
0,150000	1,736778E+0
0,160000	1,891312E+0
0,170000	2,023771E+0
0,180000	2,153075E+0
0,190000	2,323379E+0
0,200000	2,452683E+0
0,210000	2,566219E+0
0,220000	2,698677E+0
0,230000	2,786983E+0
0,240000	2,887903E+0
0,250000	2,941518E+0
0,260000	3,023516E+0
0,270000	3,064515E+0
0,280000	3,083437E+0
0,290000	3,114975E+0
0,300000	3,092898E+0
0,310000	3,058207E+0
0,320000	3,039284E+0
0,330000	2,963594E+0
0,340000	2,913134E+0
0,350000	2,827982E+0
0,360000	2,695524E+0
0,370000	2,600910E+0
0,380000	2,490528E+0
0,390000	2,342301E+0
0,400000	2,206689E+0
0,410000	2,071077E+0
0,420000	1,916542E+0
0,430000	1,790392E+0
0,440000	1,635857E+0
0,450000	1,487630E+0
0,460000	1,383555E+0
0,470000	1,257405E+0
0,480000	1,137561E+0
0,490000	1,046102E+0
0,500000	9,483351E-1
0,510000	8,663371E-1
0,520000	8,064155E-1
0,530000	7,748778E-1
0,540000	7,464939E-1
0,550000	7,401863E-1
0,560000	7,685702E-1
0,570000	7,591089E-1
0,580000	8,158768E-1
0,590000	8,757984E-1
0,600000	9,294125E-1
0,610000	1,017718E+0
0,620000	1,131254E+0
0,630000	1,260558E+0
0,640000	1,355171E+0
0,650000	1,503399E+0
0,660000	1,635857E+0
0,670000	1,765161E+0
0,680000	1,913389E+0
0,690000	2,039539E+0
0,700000	2,187767E+0
0,710000	2,345455E+0
0,720000	2,449529E+0
0,730000	2,578834E+0
0,740000	2,704985E+0
0,750000	2,783829E+0
0,760000	2,868981E+0
0,770000	2,954133E+0
0,780000	2,995132E+0
0,790000	3,042438E+0
0,800000	3,089745E+0
0,810000	3,067668E+0
0,820000	3,067668E+0
0,830000	3,058207E+0
0,840000	2,995132E+0
0,850000	2,928902E+0
0,860000	2,856366E+0
0,870000	2,777522E+0
0,880000	2,670293E+0
0,890000	2,581988E+0
0,900000	2,436914E+0
0,910000	2,313917E+0
0,920000	2,184613E+0
0,930000	2,033232E+0
0,940000	1,897620E+0
0,950000	1,749393E+0
0,960000	1,616934E+0
0,970000	1,475015E+0
0,980000	1,370940E+0
0,990000	1,232174E+0
1,000000	1,124946E+0
1,010000	1,014564E+0
1,020000	9,514889E-1
1,030000	8,757984E-1
1,040000	8,190306E-1
1,050000	7,843391E-1
1,060000	7,528014E-1
1,070000	7,559552E-1
1,080000	7,748778E-1
1,090000	7,717240E-1
1,100000	8,316456E-1
1,110000	8,884135E-1
1,120000	9,767190E-1
1,130000	1,055563E+0
1,140000	1,169099E+0
1,150000	1,266866E+0
1,160000	1,405632E+0
1,170000	1,531783E+0
1,180000	1,667395E+0
1,190000	1,796699E+0
1,200000	1,935465E+0
1,210000	2,083692E+0
1,220000	2,209843E+0
1,230000	2,348609E+0
1,240000	2,487375E+0
1,250000	2,604064E+0
1,260000	2,717600E+0
1,270000	2,786983E+0
1,280000	2,872135E+0
1,290000	2,950979E+0
1,300000	2,998285E+0
1,310000	3,032977E+0
1,320000	3,067668E+0
1,330000	3,067668E+0
1,340000	3,058207E+0
1,350000	3,042438E+0
1,360000	2,973055E+0
1,370000	2,903672E+0
1,380000	2,837443E+0
1,390000	2,745984E+0
1,400000	2,651371E+0
1,410000	2,534681E+0
1,420000	2,417992E+0
1,430000	2,301302E+0
1,440000	2,156229E+0
1,450000	2,008002E+0
1,460000	1,869236E+0
1,470000	1,730470E+0
1,480000	1,585397E+0
1,490000	1,459246E+0
1,500000	1,339403E+0
1,510000	1,219559E+0
1,520000	1,121792E+0
1,530000	1,036641E+0
1,540000	9,357200E-1
1,550000	8,474145E-1
1,560000	8,221843E-1
1,570000	7,874929E-1
1,580000	7,622627E-1
1,590000	7,559552E-1
1,600000	7,748778E-1
1,610000	8,064155E-1
1,620000	8,757984E-1
1,630000	9,231050E-1
1,640000	9,861804E-1
1,650000	1,093409E+0
1,660000	1,213252E+0
1,670000	1,314172E+0
1,680000	1,434016E+0
1,690000	1,566474E+0
1,700000	1,695779E+0
1,710000	1,837698E+0
1,720000	1,970156E+0
1,730000	2,099461E+0
1,740000	2,241381E+0
1,750000	2,386454E+0
1,760000	2,503144E+0
1,770000	2,613526E+0
1,780000	2,714446E+0
1,790000	2,815367E+0
1,800000	2,897365E+0
1,810000	2,950979E+0
1,820000	3,004593E+0
1,830000	3,042438E+0
1,840000	3,061361E+0
1,850000	3,067668E+0
1,860000	3,045592E+0
1,870000	3,004593E+0
1,880000	2,954133E+0
1,890000	2,894211E+0
1,900000	2,824828E+0
1,910000	2,698677E+0
1,920000	2,610372E+0
1,930000	2,509451E+0
1,940000	2,373839E+0
1,950000	2,247688E+0
1,960000	2,124691E+0
1,970000	1,963849E+0
1,980000	1,831391E+0
1,990000	1,689471E+0
2,000000	1,550705E+0
2,010000	1,449784E+0
2,020000	1,329941E+0
2,030000	1,213252E+0
2,040000	1,096562E+0
2,050000	1,001949E+0
