date/time: ,11/10/2023,11:09 a.m.
Run 1

time	(N)
0,000000	4,174641E+0
0,010000	4,152565E+0
0,020000	4,130489E+0
0,030000	4,057952E+0
0,040000	3,988569E+0
0,050000	3,903417E+0
0,060000	3,783574E+0
0,070000	3,660577E+0
0,080000	3,534426E+0
0,090000	3,398814E+0
0,100000	3,225357E+0
0,110000	3,070822E+0
0,120000	2,897365E+0
0,130000	2,733369E+0
0,140000	2,553604E+0
0,150000	2,364378E+0
0,160000	2,197228E+0
0,170000	2,023771E+0
0,180000	1,853467E+0
0,190000	1,689471E+0
0,200000	1,534936E+0
0,210000	1,421401E+0
0,220000	1,285788E+0
0,230000	1,159638E+0
0,240000	1,049256E+0
0,250000	9,798728E-1
0,260000	9,104899E-1
0,270000	8,600296E-1
0,280000	8,347994E-1
0,290000	8,221843E-1
0,300000	8,568758E-1
0,310000	8,789522E-1
0,320000	9,262587E-1
0,330000	9,704115E-1
0,340000	1,039794E+0
0,350000	1,156484E+0
0,360000	1,266866E+0
0,370000	1,389863E+0
0,380000	1,534936E+0
0,390000	1,683163E+0
0,400000	1,831391E+0
0,410000	2,008002E+0
0,420000	2,159383E+0
0,430000	2,329686E+0
0,440000	2,512605E+0
0,450000	2,698677E+0
0,460000	2,881596E+0
0,470000	3,042438E+0
0,480000	3,219049E+0
0,490000	3,367276E+0
0,500000	3,518657E+0
0,510000	3,638501E+0
0,520000	3,767805E+0
0,530000	3,887648E+0
0,540000	3,975954E+0
0,550000	4,064260E+0
0,560000	4,114720E+0
0,570000	4,139950E+0
0,580000	4,158873E+0
0,590000	4,158873E+0
0,600000	4,152565E+0
0,610000	4,098951E+0
0,620000	4,061106E+0
0,630000	3,988569E+0
0,640000	3,906571E+0
0,650000	3,796189E+0
0,660000	3,685807E+0
0,670000	3,550195E+0
0,680000	3,398814E+0
0,690000	3,241126E+0
0,700000	3,073976E+0
0,710000	2,925749E+0
0,720000	2,752291E+0
0,730000	2,578834E+0
0,740000	2,408530E+0
0,750000	2,241381E+0
0,760000	2,058462E+0
0,770000	1,881851E+0
0,780000	1,724162E+0
0,790000	1,560166E+0
0,800000	1,421401E+0
0,810000	1,295250E+0
0,820000	1,188022E+0
0,830000	1,083947E+0
0,840000	1,008257E+0
0,850000	9,451813E-1
0,860000	8,852597E-1
0,870000	8,537220E-1
0,880000	8,379532E-1
0,890000	8,474145E-1
0,900000	8,884135E-1
0,910000	9,231050E-1
0,920000	9,861804E-1
0,930000	1,065025E+0
0,940000	1,143869E+0
0,950000	1,254251E+0
0,960000	1,377248E+0
0,970000	1,519167E+0
0,980000	1,680010E+0
0,990000	1,821929E+0
1,000000	1,982772E+0
1,010000	2,162536E+0
1,020000	2,339148E+0
1,030000	2,496836E+0
1,040000	2,663986E+0
1,050000	2,827982E+0
1,060000	3,029823E+0
1,070000	3,190665E+0
1,080000	3,345200E+0
1,090000	3,493427E+0
1,100000	3,635347E+0
1,110000	3,748883E+0
1,120000	3,856111E+0
1,130000	3,950724E+0
1,140000	4,010645E+0
1,150000	4,092643E+0
1,160000	4,114720E+0
1,170000	4,149411E+0
1,180000	4,133642E+0
1,190000	4,124181E+0
1,200000	4,089490E+0
1,210000	4,039029E+0
1,220000	3,975954E+0
1,230000	3,884495E+0
1,240000	3,796189E+0
1,250000	3,663731E+0
1,260000	3,550195E+0
1,270000	3,414583E+0
1,280000	3,253741E+0
1,290000	3,105514E+0
1,300000	2,925749E+0
1,310000	2,749138E+0
1,320000	2,566219E+0
1,330000	2,411684E+0
1,340000	2,250842E+0
1,350000	2,093154E+0
1,360000	1,922850E+0
1,370000	1,752546E+0
1,380000	1,610627E+0
1,390000	1,462400E+0
1,400000	1,333095E+0
1,410000	1,219559E+0
1,420000	1,121792E+0
1,430000	1,055563E+0
1,440000	9,767190E-1
1,450000	9,199512E-1
1,460000	8,789522E-1
1,470000	8,789522E-1
1,480000	8,600296E-1
1,490000	8,884135E-1
1,500000	9,104899E-1
1,510000	9,893341E-1
1,520000	1,080793E+0
1,530000	1,175407E+0
1,540000	1,279481E+0
1,550000	1,380402E+0
1,560000	1,528629E+0
1,570000	1,667395E+0
1,580000	1,818776E+0
1,590000	1,982772E+0
1,600000	2,134153E+0
1,610000	2,317071E+0
1,620000	2,490528E+0
1,630000	2,645063E+0
1,640000	2,815367E+0
1,650000	3,004593E+0
1,660000	3,168589E+0
1,670000	3,307355E+0
1,680000	3,449274E+0
1,690000	3,603809E+0
1,700000	3,736268E+0
1,710000	3,840342E+0
1,720000	3,925494E+0
1,730000	3,988569E+0
1,740000	4,045337E+0
1,750000	4,098951E+0
1,760000	4,117874E+0
1,770000	4,108412E+0
1,780000	4,108412E+0
1,790000	4,095797E+0
1,800000	4,051644E+0
1,810000	3,982262E+0
1,820000	3,881341E+0
1,830000	3,777267E+0
1,840000	3,670038E+0
1,850000	3,547041E+0
1,860000	3,401968E+0
1,870000	3,272663E+0
1,880000	3,121282E+0
1,890000	2,947825E+0
1,900000	2,780675E+0
1,910000	2,613526E+0
1,920000	2,424299E+0
1,930000	2,272918E+0
1,940000	2,102615E+0
1,950000	1,929157E+0
1,960000	1,762008E+0
1,970000	1,613781E+0
1,980000	1,490784E+0
1,990000	1,361479E+0
2,000000	1,232174E+0
2,010000	1,124946E+0
2,020000	1,052410E+0
2,030000	9,924879E-1
2,040000	9,294125E-1
2,050000	8,915673E-1
2,060000	8,789522E-1
2,070000	8,978748E-1
2,080000	9,104899E-1
2,090000	9,451813E-1
2,100000	9,798728E-1
2,110000	1,061871E+0
2,120000	1,172253E+0
2,130000	1,270020E+0
2,140000	1,393017E+0
2,150000	1,516014E+0
2,160000	1,676856E+0
2,170000	1,821929E+0
2,180000	1,967003E+0
2,190000	2,112076E+0
2,200000	2,288687E+0
2,210000	2,462145E+0
2,220000	2,632448E+0
2,230000	2,802752E+0
2,240000	2,963594E+0
2,250000	3,140205E+0
2,260000	3,294740E+0
2,270000	3,436659E+0
2,280000	3,559656E+0
2,290000	3,692115E+0
2,300000	3,830881E+0
2,310000	3,916032E+0
2,320000	3,979108E+0
2,330000	4,026414E+0
2,340000	4,070567E+0
2,350000	4,121027E+0
2,360000	4,102105E+0
2,370000	4,098951E+0
2,380000	4,054798E+0
