date/time: ,11/10/2023,11:23 a.m.
Run 1

time	(N)
0,000000	6,990958E+0
0,010000	7,079263E+0
0,020000	7,167569E+0
0,030000	7,271643E+0
0,040000	7,363103E+0
0,050000	7,445101E+0
0,060000	7,530252E+0
0,070000	7,609097E+0
0,080000	7,700556E+0
0,090000	7,779400E+0
0,100000	7,848783E+0
0,110000	7,940242E+0
0,120000	8,028548E+0
0,130000	8,088470E+0
0,140000	8,154699E+0
0,150000	8,227236E+0
0,160000	8,296618E+0
0,170000	8,350233E+0
0,180000	8,403847E+0
0,190000	8,454307E+0
0,200000	8,492152E+0
0,210000	8,523690E+0
0,220000	8,577304E+0
0,230000	8,618303E+0
0,240000	8,624611E+0
0,250000	8,640379E+0
0,260000	8,646687E+0
0,270000	8,662456E+0
0,280000	8,668763E+0
0,290000	8,681378E+0
0,300000	8,662456E+0
0,310000	8,662456E+0
0,320000	8,630918E+0
0,330000	8,593073E+0
0,340000	8,574150E+0
0,350000	8,523690E+0
0,360000	8,495306E+0
0,370000	8,473230E+0
0,380000	8,413308E+0
0,390000	8,366001E+0
0,400000	8,290311E+0
0,410000	8,214620E+0
0,420000	8,145238E+0
0,430000	8,072701E+0
0,440000	7,990703E+0
0,450000	7,911859E+0
0,460000	7,845629E+0
0,470000	7,760478E+0
0,480000	7,684787E+0
0,490000	7,609097E+0
0,500000	7,501868E+0
0,510000	7,404102E+0
0,520000	7,306335E+0
0,530000	7,230644E+0
0,540000	7,145493E+0
0,550000	7,069802E+0
0,560000	6,981497E+0
0,570000	6,902652E+0
0,580000	6,811193E+0
0,590000	6,719734E+0
0,600000	6,625121E+0
0,610000	6,543123E+0
0,620000	6,473740E+0
0,630000	6,401203E+0
0,640000	6,334974E+0
0,650000	6,265591E+0
0,660000	6,202515E+0
0,670000	6,152055E+0
0,680000	6,107902E+0
0,690000	6,051134E+0
0,700000	5,997520E+0
0,710000	5,962829E+0
0,720000	5,931291E+0
0,730000	5,918676E+0
0,740000	5,883985E+0
0,750000	5,855601E+0
0,760000	5,842986E+0
0,770000	5,849293E+0
0,780000	5,842986E+0
0,790000	5,842986E+0
0,800000	5,861908E+0
0,810000	5,883985E+0
0,820000	5,899754E+0
0,830000	5,918676E+0
0,840000	5,937599E+0
0,850000	5,984905E+0
0,860000	6,019597E+0
0,870000	6,079518E+0
0,880000	6,117364E+0
0,890000	6,189900E+0
0,900000	6,249822E+0
0,910000	6,312897E+0
0,920000	6,385434E+0
0,930000	6,448509E+0
0,940000	6,521046E+0
0,950000	6,599890E+0
0,960000	6,675581E+0
0,970000	6,763886E+0
0,980000	6,852192E+0
0,990000	6,940497E+0
1,000000	7,031957E+0
1,010000	7,107647E+0
1,020000	7,183338E+0
1,030000	7,281105E+0
1,040000	7,363103E+0
1,050000	7,457716E+0
1,060000	7,546021E+0
1,070000	7,634327E+0
1,080000	7,722632E+0
1,090000	7,807784E+0
1,100000	7,892936E+0
