date/time: ,11/10/2023,11:21 a.m.
Run 1

time	(N)
0,000000	5,010390E+0
0,010000	5,035621E+0
0,020000	5,089235E+0
0,030000	5,136541E+0
0,040000	5,205924E+0
0,050000	5,272153E+0
0,060000	5,344690E+0
0,070000	5,429842E+0
0,080000	5,502379E+0
0,090000	5,587530E+0
0,100000	5,656913E+0
0,110000	5,735757E+0
0,120000	5,833524E+0
0,130000	5,924984E+0
0,140000	6,019597E+0
0,150000	6,133132E+0
0,160000	6,246668E+0
0,170000	6,344435E+0
0,180000	6,445356E+0
0,190000	6,533661E+0
0,200000	6,615659E+0
0,210000	6,719734E+0
0,220000	6,830116E+0
0,230000	6,931036E+0
0,240000	7,025649E+0
0,250000	7,107647E+0
0,260000	7,218029E+0
0,270000	7,296873E+0
0,280000	7,369410E+0
0,290000	7,423024E+0
0,300000	7,498715E+0
0,310000	7,568098E+0
0,320000	7,631173E+0
0,330000	7,681633E+0
0,340000	7,735247E+0
0,350000	7,785708E+0
0,360000	7,804630E+0
0,370000	7,848783E+0
0,380000	7,855091E+0
0,390000	7,874013E+0
0,400000	7,886628E+0
0,410000	7,892936E+0
0,420000	7,883475E+0
0,430000	7,883475E+0
0,440000	7,877167E+0
0,450000	7,833014E+0
0,460000	7,807784E+0
0,470000	7,751016E+0
0,480000	7,700556E+0
0,490000	7,665865E+0
0,500000	7,609097E+0
0,510000	7,564944E+0
0,520000	7,495561E+0
0,530000	7,432486E+0
0,540000	7,334719E+0
0,550000	7,274797E+0
0,560000	7,177030E+0
0,570000	7,088725E+0
0,580000	7,000419E+0
0,590000	6,902652E+0
0,600000	6,820654E+0
0,610000	6,738656E+0
0,620000	6,628274E+0
0,630000	6,524200E+0
0,640000	6,413818E+0
0,650000	6,309744E+0
0,660000	6,208823E+0
0,670000	6,120517E+0
0,680000	6,022751E+0
0,690000	5,937599E+0
0,700000	5,846139E+0
0,710000	5,757834E+0
0,720000	5,672682E+0
0,730000	5,578069E+0
0,740000	5,473995E+0
0,750000	5,401458E+0
0,760000	5,338383E+0
0,770000	5,265846E+0
0,780000	5,209078E+0
0,790000	5,152310E+0
0,800000	5,098696E+0
0,810000	5,054543E+0
0,820000	5,010390E+0
0,830000	4,975699E+0
0,840000	4,934700E+0
0,850000	4,912624E+0
0,860000	4,896855E+0
0,870000	4,896855E+0
0,880000	4,896855E+0
0,890000	4,896855E+0
0,900000	4,915777E+0
0,910000	4,909470E+0
0,920000	4,941008E+0
0,930000	4,963084E+0
0,940000	5,013544E+0
0,950000	5,051389E+0
0,960000	5,095542E+0
0,970000	5,158618E+0
0,980000	5,212232E+0
0,990000	5,272153E+0
1,000000	5,332075E+0
1,010000	5,414073E+0
1,020000	5,496071E+0
1,030000	5,581223E+0
1,040000	5,682143E+0
1,050000	5,760988E+0
1,060000	5,849293E+0
1,070000	5,937599E+0
1,080000	6,044827E+0
1,090000	6,129979E+0
1,100000	6,230899E+0
1,110000	6,325512E+0
1,120000	6,435894E+0
1,130000	6,533661E+0
1,140000	6,621967E+0
1,150000	6,710272E+0
1,160000	6,814347E+0
1,170000	6,915267E+0
1,180000	6,987804E+0
1,190000	7,079263E+0
1,200000	7,167569E+0
1,210000	7,259028E+0
1,220000	7,341026E+0
1,230000	7,413563E+0
1,240000	7,473485E+0
1,250000	7,539714E+0
1,260000	7,599635E+0
1,270000	7,640634E+0
1,280000	7,706864E+0
1,290000	7,751016E+0
1,300000	7,795169E+0
1,310000	7,836168E+0
1,320000	7,833014E+0
1,330000	7,851937E+0
1,340000	7,864552E+0
1,350000	7,874013E+0
1,360000	7,855091E+0
1,370000	7,839322E+0
1,380000	7,829861E+0
1,390000	7,807784E+0
1,400000	7,801477E+0
1,410000	7,757324E+0
1,420000	7,700556E+0
1,430000	7,646942E+0
1,440000	7,574405E+0
1,450000	7,517637E+0
1,460000	7,460869E+0
1,470000	7,407255E+0
1,480000	7,322104E+0
1,490000	7,249567E+0
1,500000	7,180184E+0
1,510000	7,082417E+0
1,520000	6,978343E+0
1,530000	6,883730E+0
1,540000	6,801732E+0
1,550000	6,713426E+0
1,560000	6,603044E+0
1,570000	6,508431E+0
1,580000	6,413818E+0
1,590000	6,312897E+0
1,600000	6,224592E+0
1,610000	6,107902E+0
1,620000	6,006982E+0
1,630000	5,906061E+0
1,640000	5,833524E+0
1,650000	5,742065E+0
1,660000	5,666375E+0
1,670000	5,578069E+0
1,680000	5,496071E+0
1,690000	5,420381E+0
1,700000	5,328921E+0
1,710000	5,262692E+0
1,720000	5,202770E+0
1,730000	5,149156E+0
1,740000	5,098696E+0
1,750000	5,057697E+0
1,760000	5,023006E+0
1,770000	4,991468E+0
1,780000	4,963084E+0
1,790000	4,928392E+0
1,800000	4,925239E+0
1,810000	4,912624E+0
1,820000	4,896855E+0
1,830000	4,912624E+0
1,840000	4,925239E+0
1,850000	4,941008E+0
1,860000	4,972545E+0
1,870000	5,010390E+0
1,880000	5,038774E+0
1,890000	5,089235E+0
1,900000	5,139695E+0
1,910000	5,199617E+0
1,920000	5,250077E+0
1,930000	5,309999E+0
1,940000	5,388843E+0
1,950000	5,470841E+0
1,960000	5,546531E+0
1,970000	5,628529E+0
1,980000	5,716835E+0
1,990000	5,795679E+0
2,000000	5,880831E+0
2,010000	5,991213E+0
2,020000	6,079518E+0
2,030000	6,180439E+0
2,040000	6,278206E+0
2,050000	6,372819E+0
2,060000	6,489508E+0
2,070000	6,577814E+0
2,080000	6,669273E+0
2,090000	6,773348E+0
2,100000	6,877422E+0
2,110000	6,968881E+0
2,120000	7,054033E+0
2,130000	7,123416E+0
2,140000	7,218029E+0
2,150000	7,287412E+0
2,160000	7,366256E+0
2,170000	7,441947E+0
2,180000	7,498715E+0
2,190000	7,564944E+0
2,200000	7,618558E+0
2,210000	7,684787E+0
2,220000	7,728940E+0
2,230000	7,757324E+0
2,240000	7,782554E+0
2,250000	7,807784E+0
2,260000	7,820399E+0
2,270000	7,836168E+0
2,280000	7,874013E+0
2,290000	7,864552E+0
2,300000	7,851937E+0
2,310000	7,845629E+0
2,320000	7,817245E+0
2,330000	7,798323E+0
2,340000	7,766785E+0
2,350000	7,725786E+0
2,360000	7,672172E+0
2,370000	7,624866E+0
