date/time: .11/10/2023.11:13 a.m.
Run 1

time	(N)
0.000000	5.231154E+0
0.010000	5.262692E+0
0.020000	5.291076E+0
0.030000	5.309999E+0
0.040000	5.325767E+0
0.050000	5.328921E+0
0.060000	5.294230E+0
0.070000	5.278461E+0
0.080000	5.259538E+0
0.090000	5.205924E+0
0.100000	5.171233E+0
0.110000	5.117619E+0
0.120000	5.057697E+0
0.130000	4.972545E+0
0.140000	4.909470E+0
0.150000	4.818011E+0
0.160000	4.732859E+0
0.170000	4.638246E+0
0.180000	4.543633E+0
0.190000	4.455327E+0
0.200000	4.357560E+0
0.210000	4.262947E+0
0.220000	4.152565E+0
0.230000	4.042183E+0
0.240000	3.931801E+0
0.250000	3.840342E+0
0.260000	3.733114E+0
0.270000	3.619578E+0
0.280000	3.531272E+0
0.290000	3.433506E+0
0.300000	3.351508E+0
0.310000	3.260048E+0
0.320000	3.184358E+0
0.330000	3.118129E+0
0.340000	3.048746E+0
0.350000	2.991978E+0
0.360000	2.938364E+0
0.370000	2.887903E+0
0.380000	2.856366E+0
0.390000	2.837443E+0
0.400000	2.809059E+0
0.410000	2.793290E+0
0.420000	2.790137E+0
0.430000	2.793290E+0
0.440000	2.793290E+0
0.450000	2.821674E+0
0.460000	2.859520E+0
0.470000	2.922595E+0
0.480000	2.966748E+0
0.490000	3.007747E+0
0.500000	3.064515E+0
0.510000	3.133898E+0
0.520000	3.219049E+0
0.530000	3.301047E+0
0.540000	3.389353E+0
0.550000	3.477658E+0
0.560000	3.584887E+0
0.570000	3.682653E+0
0.580000	3.786728E+0
0.590000	3.897110E+0
0.600000	3.991723E+0
0.610000	4.092643E+0
0.620000	4.190410E+0
0.630000	4.291331E+0
0.640000	4.408020E+0
0.650000	4.512095E+0
0.660000	4.594093E+0
0.670000	4.688706E+0
0.680000	4.758089E+0
0.690000	4.836933E+0
0.700000	4.903162E+0
0.710000	4.985160E+0
0.720000	5.057697E+0
0.730000	5.108157E+0
0.740000	5.164925E+0
0.750000	5.202770E+0
0.760000	5.234308E+0
0.770000	5.281615E+0
0.780000	5.294230E+0
0.790000	5.297383E+0
0.800000	5.291076E+0
0.810000	5.291076E+0
0.820000	5.275307E+0
0.830000	5.246923E+0
0.840000	5.199617E+0
0.850000	5.152310E+0
0.860000	5.101850E+0
0.870000	5.048236E+0
0.880000	4.959930E+0
0.890000	4.906316E+0
0.900000	4.821164E+0
0.910000	4.736012E+0
0.920000	4.647707E+0
0.930000	4.546786E+0
0.940000	4.455327E+0
0.950000	4.354406E+0
0.960000	4.253486E+0
0.970000	4.143104E+0
0.980000	4.032722E+0
0.990000	3.925494E+0
1.000000	3.840342E+0
1.010000	3.733114E+0
1.020000	3.647962E+0
1.030000	3.547041E+0
1.040000	3.442967E+0
1.050000	3.354661E+0
1.060000	3.275817E+0
1.070000	3.190665E+0
1.080000	3.118129E+0
1.090000	3.058207E+0
1.100000	2.982517E+0
1.110000	2.954133E+0
1.120000	2.916287E+0
1.130000	2.862673E+0
1.140000	2.827982E+0
1.150000	2.815367E+0
1.160000	2.815367E+0
1.170000	2.818521E+0
1.180000	2.821674E+0
1.190000	2.843751E+0
1.200000	2.868981E+0
1.210000	2.903672E+0
1.220000	2.928902E+0
1.230000	2.969901E+0
1.240000	3.039284E+0
1.250000	3.105514E+0
1.260000	3.174897E+0
1.270000	3.256895E+0
1.280000	3.332585E+0
1.290000	3.427198E+0
1.300000	3.518657E+0
1.310000	3.616424E+0
1.320000	3.704730E+0
1.330000	3.815112E+0
1.340000	3.916032E+0
1.350000	4.016953E+0
1.360000	4.127335E+0
1.370000	4.247178E+0
1.380000	4.329176E+0
1.390000	4.442712E+0
1.400000	4.540479E+0
1.410000	4.616169E+0
1.420000	4.710782E+0
1.430000	4.795934E+0
1.440000	4.887393E+0
1.450000	4.969391E+0
1.460000	5.035621E+0
1.470000	5.089235E+0
1.480000	5.139695E+0
1.490000	5.180694E+0
1.500000	5.212232E+0
1.510000	5.243769E+0
1.520000	5.275307E+0
1.530000	5.291076E+0
1.540000	5.300537E+0
1.550000	5.309999E+0
1.560000	5.284768E+0
1.570000	5.250077E+0
1.580000	5.224847E+0
1.590000	5.183848E+0
1.600000	5.133387E+0
1.610000	5.092388E+0
1.620000	5.035621E+0
1.630000	4.956776E+0
1.640000	4.893701E+0
1.650000	4.811703E+0
1.660000	4.723397E+0
1.670000	4.635092E+0
1.680000	4.527864E+0
1.690000	4.423789E+0
1.700000	4.329176E+0
1.710000	4.228256E+0
1.720000	4.139950E+0
1.730000	4.039029E+0
1.740000	3.934955E+0
1.750000	3.830881E+0
1.760000	3.714191E+0
1.770000	3.622732E+0
1.780000	3.534426E+0
1.790000	3.452428E+0
1.800000	3.364123E+0
1.810000	3.275817E+0
1.820000	3.200127E+0
1.830000	3.130744E+0
1.840000	3.051899E+0
1.850000	3.014054E+0
1.860000	2.947825E+0
1.870000	2.903672E+0
1.880000	2.878442E+0
1.890000	2.859520E+0
1.900000	2.827982E+0
1.910000	2.815367E+0
1.920000	2.827982E+0
1.930000	2.827982E+0
1.940000	2.853212E+0
1.950000	2.872135E+0
1.960000	2.903672E+0
1.970000	2.941518E+0
1.980000	2.998285E+0
1.990000	3.048746E+0
2.000000	3.105514E+0
2.010000	3.190665E+0
2.020000	3.266356E+0
2.030000	3.335739E+0
2.040000	3.414583E+0
2.050000	3.518657E+0
2.060000	3.610117E+0
2.070000	3.704730E+0
2.080000	3.802497E+0
2.090000	3.912879E+0
2.100000	4.001184E+0
2.110000	4.102105E+0
2.120000	4.206179E+0
2.130000	4.300792E+0
2.140000	4.395405E+0
2.150000	4.490018E+0
2.160000	4.581478E+0
2.170000	4.660322E+0
2.180000	4.739166E+0
2.190000	4.824318E+0
2.200000	4.900009E+0
2.210000	4.959930E+0
2.220000	5.010390E+0
2.230000	5.060851E+0
2.240000	5.117619E+0
2.250000	5.171233E+0
2.260000	5.215385E+0
2.270000	5.237462E+0
2.280000	5.250077E+0
2.290000	5.250077E+0
2.300000	5.240616E+0
2.310000	5.237462E+0
2.320000	5.228001E+0
2.330000	5.193309E+0
2.340000	5.158618E+0
2.350000	5.101850E+0
2.360000	5.051389E+0
2.370000	4.997775E+0
2.380000	4.928392E+0
2.390000	4.849548E+0
2.400000	4.777012E+0
2.410000	4.698167E+0
2.420000	4.603554E+0
2.430000	4.512095E+0
2.440000	4.420636E+0
2.450000	4.322869E+0
2.460000	4.221948E+0
2.470000	4.108412E+0
2.480000	4.004338E+0
2.490000	3.909725E+0
2.500000	3.818266E+0
2.510000	3.726806E+0
2.520000	3.625886E+0
2.530000	3.531272E+0
2.540000	3.446121E+0
2.550000	3.351508E+0
2.560000	3.282125E+0
2.570000	3.206434E+0
2.580000	3.133898E+0
2.590000	3.077130E+0
2.600000	3.014054E+0
2.610000	2.973055E+0
2.620000	2.935210E+0
2.630000	2.900519E+0
2.640000	2.872135E+0
2.650000	2.859520E+0
2.660000	2.846904E+0
2.670000	2.843751E+0
2.680000	2.865827E+0
2.690000	2.872135E+0
2.700000	2.913134E+0
2.710000	2.941518E+0
2.720000	2.991978E+0
2.730000	3.029823E+0
2.740000	3.092898E+0
2.750000	3.162281E+0
2.760000	3.231664E+0
2.770000	3.310509E+0
2.780000	3.386199E+0
2.790000	3.474505E+0
2.800000	3.569118E+0
