date/time: .11/10/2023.11:11 a.m.
Run 1

time	(N)
0.000000	1.657933E+0
0.010000	1.724162E+0
0.020000	1.803007E+0
0.030000	1.891312E+0
0.040000	2.001694E+0
0.050000	2.115230E+0
0.060000	2.253996E+0
0.070000	2.389608E+0
0.080000	2.547296E+0
0.090000	2.717600E+0
0.100000	2.909980E+0
0.110000	3.070822E+0
0.120000	3.244279E+0
0.130000	3.408275E+0
0.140000	3.581733E+0
0.150000	3.745729E+0
0.160000	3.925494E+0
0.170000	4.124181E+0
0.180000	4.319715E+0
0.190000	4.496326E+0
0.200000	4.660322E+0
0.210000	4.802242E+0
0.220000	4.928392E+0
0.230000	5.038774E+0
0.240000	5.130234E+0
0.250000	5.234308E+0
0.260000	5.341536E+0
0.270000	5.439303E+0
0.280000	5.524455E+0
0.290000	5.578069E+0
0.300000	5.609607E+0
0.310000	5.612760E+0
0.320000	5.590684E+0
0.330000	5.565454E+0
0.340000	5.530762E+0
0.350000	5.467687E+0
0.360000	5.439303E+0
0.370000	5.363613E+0
0.380000	5.287922E+0
0.390000	5.183848E+0
0.400000	5.067158E+0
0.410000	4.912624E+0
0.420000	4.745474E+0
0.430000	4.590939E+0
0.440000	4.420636E+0
0.450000	4.275562E+0
0.460000	4.127335E+0
0.470000	3.938109E+0
0.480000	3.767805E+0
0.490000	3.572271E+0
0.500000	3.398814E+0
0.510000	3.222203E+0
0.520000	3.023516E+0
0.530000	2.859520E+0
0.540000	2.673447E+0
0.550000	2.537835E+0
0.560000	2.392762E+0
0.570000	2.253996E+0
0.580000	2.134153E+0
0.590000	2.008002E+0
0.600000	1.903927E+0
0.610000	1.806160E+0
0.620000	1.727316E+0
0.630000	1.661087E+0
0.640000	1.613781E+0
0.650000	1.585397E+0
0.660000	1.572782E+0
0.670000	1.553859E+0
0.680000	1.560166E+0
0.690000	1.607473E+0
0.700000	1.661087E+0
0.710000	1.721009E+0
0.720000	1.793545E+0
0.730000	1.885005E+0
0.740000	1.979618E+0
0.750000	2.090000E+0
0.760000	2.212997E+0
0.770000	2.335994E+0
0.780000	2.496836E+0
0.790000	2.667140E+0
0.800000	2.840597E+0
0.810000	3.020362E+0
0.820000	3.203280E+0
0.830000	3.370430E+0
0.840000	3.537580E+0
0.850000	3.695269E+0
0.860000	3.868726E+0
0.870000	4.048491E+0
0.880000	4.234563E+0
0.890000	4.411174E+0
0.900000	4.581478E+0
0.910000	4.742320E+0
0.920000	4.884240E+0
0.930000	4.985160E+0
0.940000	5.111311E+0
0.950000	5.205924E+0
0.960000	5.287922E+0
0.970000	5.391997E+0
0.980000	5.448764E+0
0.990000	5.546531E+0
1.000000	5.574915E+0
1.010000	5.603299E+0
1.020000	5.578069E+0
1.030000	5.565454E+0
1.040000	5.508686E+0
1.050000	5.477148E+0
1.060000	5.429842E+0
1.070000	5.350998E+0
1.080000	5.281615E+0
1.090000	5.187002E+0
1.100000	5.089235E+0
1.110000	4.944161E+0
1.120000	4.795934E+0
1.130000	4.647707E+0
1.140000	4.474250E+0
1.150000	4.329176E+0
1.160000	4.180949E+0
1.170000	4.004338E+0
1.180000	3.827727E+0
1.190000	3.660577E+0
1.200000	3.471351E+0
1.210000	3.282125E+0
1.220000	3.086591E+0
1.230000	2.932056E+0
1.240000	2.761753E+0
1.250000	2.613526E+0
1.260000	2.462145E+0
1.270000	2.320225E+0
1.280000	2.190920E+0
1.290000	2.061616E+0
1.300000	1.954388E+0
1.310000	1.840852E+0
1.320000	1.755700E+0
1.330000	1.692625E+0
1.340000	1.648472E+0
1.350000	1.610627E+0
1.360000	1.594858E+0
1.370000	1.585397E+0
1.380000	1.591704E+0
1.390000	1.613781E+0
1.400000	1.635857E+0
1.410000	1.702086E+0
1.420000	1.793545E+0
1.430000	1.891312E+0
1.440000	1.985925E+0
1.450000	2.086846E+0
1.460000	2.187767E+0
1.470000	2.310764E+0
1.480000	2.452683E+0
1.490000	2.594603E+0
1.500000	2.745984E+0
1.510000	2.938364E+0
1.520000	3.127590E+0
1.530000	3.310509E+0
1.540000	3.458736E+0
1.550000	3.635347E+0
1.560000	3.805650E+0
1.570000	3.969646E+0
1.580000	4.152565E+0
1.590000	4.316561E+0
1.600000	4.493172E+0
1.610000	4.657168E+0
1.620000	4.805395E+0
1.630000	4.937854E+0
1.640000	5.060851E+0
1.650000	5.161771E+0
1.660000	5.253231E+0
1.670000	5.319460E+0
1.680000	5.388843E+0
1.690000	5.470841E+0
1.700000	5.537070E+0
1.710000	5.568608E+0
1.720000	5.581223E+0
1.730000	5.568608E+0
1.740000	5.530762E+0
1.750000	5.483456E+0
1.760000	5.439303E+0
